epoch,series,val_dfm_ce_loss,kind
76.5,power law to floor,4.481935734506214,conditional projection
76.75,power law to floor,4.480786607575672,conditional projection
77.0,power law to floor,4.479651101438428,conditional projection
77.25,power law to floor,4.478529011204521,conditional projection
77.5,power law to floor,4.477420135715278,conditional projection
77.75,power law to floor,4.476324277463614,conditional projection
78.0,power law to floor,4.475241242516289,conditional projection
78.25,power law to floor,4.474170840438056,conditional projection
78.5,power law to floor,4.473112884217655,conditional projection
78.75,power law to floor,4.4720671901956095,conditional projection
79.0,power law to floor,4.471033577993758,conditional projection
79.25,power law to floor,4.470011870446496,conditional projection
79.5,power law to floor,4.469001893533655,conditional projection
79.75,power law to floor,4.4680034763150065,conditional projection
80.0,power law to floor,4.467016450866318,conditional projection
80.25,power law to floor,4.466040652216928,conditional projection
80.5,power law to floor,4.46507591828882,conditional projection
80.75,power law to floor,4.464122089837117,conditional projection
81.0,power law to floor,4.463179010391993,conditional projection
81.25,power law to floor,4.462246526201945,conditional projection
81.5,power law to floor,4.461324486178392,conditional projection
81.75,power law to floor,4.46041274184158,conditional projection
82.0,power law to floor,4.459511147267731,conditional projection
82.25,power law to floor,4.458619559037434,conditional projection
82.5,power law to floor,4.457737836185217,conditional projection
82.75,power law to floor,4.456865840150301,conditional projection
83.0,power law to floor,4.456003434728471,conditional projection
83.25,power law to floor,4.455150486025058,conditional projection
83.5,power law to floor,4.454306862408999,conditional projection
83.75,power law to floor,4.453472434467941,conditional projection
84.0,power law to floor,4.452647074964369,conditional projection
84.25,power law to floor,4.451830658792723,conditional projection
84.5,power law to floor,4.451023062937496,conditional projection
84.75,power law to floor,4.450224166432265,conditional projection
85.0,power law to floor,4.449433850319647,conditional projection
85.25,power law to floor,4.4486519976121555,conditional projection
85.5,power law to floor,4.447878493253925,conditional projection
85.75,power law to floor,4.4471132240832985,conditional projection
86.0,power law to floor,4.446356078796232,conditional projection
86.25,power law to floor,4.445606947910525,conditional projection
86.5,power law to floor,4.444865723730826,conditional projection
86.75,power law to floor,4.444132300314423,conditional projection
87.0,power law to floor,4.443406573437774,conditional projection
87.25,power law to floor,4.44268844056378,conditional projection
87.5,power law to floor,4.441977800809759,conditional projection
87.75,power law to floor,4.441274554916133,conditional projection
88.0,power law to floor,4.44057860521579,conditional projection
88.25,power law to floor,4.439889855604096,conditional projection
88.5,power law to floor,4.439208211509577,conditional projection
88.75,power law to floor,4.4385335798652115,conditional projection
89.0,power law to floor,4.437865869080357,conditional projection
89.25,power law to floor,4.437204989013264,conditional projection
89.5,power law to floor,4.436550850944178,conditional projection
89.75,power law to floor,4.435903367549028,conditional projection
90.0,power law to floor,4.435262452873656,conditional projection
90.25,power law to floor,4.4346280223085985,conditional projection
90.5,power law to floor,4.4339999925644085,conditional projection
90.75,power law to floor,4.433378281647484,conditional projection
91.0,power law to floor,4.432762808836412,conditional projection
91.25,power law to floor,4.432153494658808,conditional projection
91.5,power law to floor,4.431550260868632,conditional projection
91.75,power law to floor,4.43095303042399,conditional projection
92.0,power law to floor,4.430361727465382,conditional projection
92.25,power law to floor,4.429776277294408,conditional projection
92.5,power law to floor,4.429196606352919,conditional projection
92.75,power law to floor,4.428622642202583,conditional projection
93.0,power law to floor,4.428054313504888,conditional projection
93.25,power law to floor,4.427491550001539,conditional projection
93.5,power law to floor,4.426934282495269,conditional projection
93.75,power law to floor,4.426382442831029,conditional projection
94.0,power law to floor,4.425835963877573,conditional projection
94.25,power law to floor,4.425294779509405,conditional projection
94.5,power law to floor,4.424758824589098,conditional projection
94.75,power law to floor,4.4242280349499685,conditional projection
95.0,power law to floor,4.423702347379095,conditional projection
95.25,power law to floor,4.423181699600684,conditional projection
95.5,power law to floor,4.422666030259764,conditional projection
95.75,power law to floor,4.422155278906208,conditional projection
96.0,power law to floor,4.42164938597907,conditional projection
96.25,power law to floor,4.421148292791239,conditional projection
96.5,power law to floor,4.420651941514387,conditional projection
96.75,power law to floor,4.420160275164226,conditional projection
97.0,power law to floor,4.419673237586047,conditional projection
97.25,power law to floor,4.4191907734405484,conditional projection
97.5,power law to floor,4.4187128281899355,conditional projection
